Permiso CRE,Place ID,Marca,Estacion,Direccion,Municipio,Estado,Region,Lat,Lon
PL/1299/EXP/ES/2015,2914,,UNIDAD DE GASOLINERAS SA DE CV,,San Francisco de los Romo,Aguascalientes,Occidente,22.03689,-102.2802
PL/1300/EXP/ES/2015,2837,,GENERAL DE COMBUSTIBLES COLIMA SA DE CV,,Manzanillo,Colima,Occidente,19.09059,-104.299
PL/1301/EXP/ES/2015,3095,,UNIDAD DE GASOLINERAS SA DE CV,,Aguascalientes,Aguascalientes,Occidente,21.85602,-102.3162
PL/1302/EXP/ES/2015,2844,,UNIDAD DE GASOLINERAS SA DE CV,,Aguascalientes,Aguascalientes,Occidente,21.85519,-102.2579
PL/1303/EXP/ES/2015,2995,,UNIDAD DE GASOLINERAS SA DE CV,,Aguascalientes,Aguascalientes,Occidente,21.92773,-102.2674
PL/1304/EXP/ES/2015,2861,,UNIDAD DE GASOLINERAS SA DE CV,,Aguascalientes,Aguascalientes,Occidente,21.75776,-102.2781
PL/13046/EXP/ES/2016,14918,,SERVICIO FACIL DEL SURESTE SA DE CV,,Cárdenas,Tabasco,Golfo,17.98289,-93.37816
PL/13047/EXP/ES/2016,14829,,PETROLIFEROS DEL CARIBE SA DE CV,,Benito Juárez,Quintana Roo,Sureste,21.16885,-86.83815
PL/13048/EXP/ES/2016,15654,,COMBUSTIBLES Y LUBRICANTES EL PUENTE SA DE CV,,El Naranjo,San Luis Potosí,Noreste,22.53171,-99.30804
PL/13049/EXP/ES/2016,15655,,PLAZA GAS SA DE CV,,Aguascalientes,Aguascalientes,Occidente,21.85159,-102.353
PL/1305/EXP/ES/2015,2986,,UNIDAD DE GASOLINERAS SA DE CV,,Aguascalientes,Aguascalientes,Occidente,21.87104,-102.2514
PL/13050/EXP/ES/2016,21035,,COMBUSTIBLES Y LUBRICANTES EL PUENTE SA DE CV,,Ciudad Valles,San Luis Potosí,Noreste,22.2118,-99.22935
PL/13051/EXP/ES/2016,14876,,GASOLINERA CAMPAMENTO MINERO SA DE CV,,Lázaro Cárdenas,Michoacán,Occidente,18.02658,-102.3058
PL/13052/EXP/ES/2016,15656,,GASOLINERA GRUPO DEL RIO SA DE CV,,Villanueva,Zacatecas,Occidente,22.08908,-102.8462
PL/13053/EXP/ES/2016,15657,,ESTACION PUENTE DE CALDERON SA DE CV,,Zapotlanejo,Jalisco,Occidente,20.65001,-103.0473
PL/13054/EXP/ES/2016,15658,,GASOLINERA DE COLONIAS DE TAMPICO SA DE CV,,Tampico,Tamaulipas,Noreste,22.23569,-97.86363
PL/13055/EXP/ES/2016,14875,,HERMENEGILDO LOPEZ ARMENTA,,Chilcuautla,Hidalgo,Centro,20.33292,-99.23186
PL/13056/EXP/ES/2016,14867,,HELIODORO SOLIS VARGAS,,Lázaro Cárdenas,Michoacán,Occidente,17.98404,-102.3551
PL/13057/EXP/ES/2016,14856,,COMBUSTIBLES LA CONSENTIDA SA DE CV,,Cañada Morelos,Puebla,Centro,18.72859,-97.41187
PL/13058/EXP/ES/2016,15659,,ESTACION DE SERVICIO CRUZ DORADA SA DE CV,,,Guerrero,Sur,16.83475,-99.90426
PL/13059/EXP/ES/2016,15660,,LUIS ALVAREZ E HIJOS SA DE CV,,,Baja California,Noroeste,31.72975,-116.5794
PL/1306/EXP/ES/2015,3064,,UNIDAD DE GASOLINERAS SA DE CV,,Aguascalientes,Aguascalientes,Occidente,21.87516,-102.2423
PL/13060/EXP/ES/2016,15661,,BELLAS ARTES GASOLINERA SA DE CV,,Nogales,Sonora,Noroeste,31.30788,-110.9417
PL/13061/EXP/ES/2016,14831,,SERVICIO GASOLINERO EL PRIMO SA DE CV,,Durango,Durango,Norte,24.01978,-104.636
PL/13062/EXP/ES/2016,15662,,SERVICIO LAS CRUCES DE SANTA ANITA SA DE CV,,Tlajomulco de Zúñiga,Jalisco,Occidente,20.55667,-103.4567
PL/13063/EXP/ES/2016,15663,,ENRIQUE ZEPEDA MORALES,,Zitácuaro,Michoacán,Occidente,19.4354,-100.3223
PL/13064/EXP/ES/2016,15664,,MERCANTIL LA FRONTERA SA DE CV,,Irimbo,Michoacán,Occidente,19.76178,-100.4637
PL/13065/EXP/ES/2016,15665,,EXELCO CARBURANTES S DE RL DE CV,,Nuevo Laredo,Tamaulipas,Noreste,27.47369,-99.51719
PL/13066/EXP/ES/2016,15666,,"GRUPO GASOLINERO UNICO, S.A. DE C.V.",,San Juan Evangelista,Veracruz,Golfo,17.90683,-95.11619
PL/13067/EXP/ES/2016,15667,,COMERCIALIZADORA ALEXA SA DE CV,,Texcoco,México,Centro,19.52645,-98.86069
PL/13068/EXP/ES/2016,14900,,GASOLINERA RINDEMAS SA DE CV,,Culiacán,Sinaloa,Noroeste,24.80032,-107.3789
PL/13069/EXP/ES/2016,15668,,GASATEC SA DE CV,,Acolman,México,Centro,19.61152,-98.94801
PL/1307/EXP/ES/2015,3114,,SERVICIO RAGGAS SA DE CV,,Iztacalco,Ciudad de México,Centro,19.4114,-99.09725
PL/13070/EXP/ES/2016,15669,,CELIA BERNAL BERNAL,,San Ignacio,Sinaloa,Noroeste,23.78664,-106.6098
PL/13071/EXP/ES/2016,15670,,ERIKA JEANNETH MENDOZA MENDOZA,,Matamoros,Tamaulipas,Noreste,25.97122,-97.69558
PL/13072/EXP/ES/2016,15671,,OLGA ANASTACIA MIRANDA CORDERO,,Tijuana,Baja California,Noroeste,32.52094,-117.0218
PL/13073/EXP/ES/2016,14845,,AUTOSERVICIO PREMIER AEROPUERTO SA DE CV,,,Coahuila,Noreste,25.55433,-103.4012
PL/13074/EXP/ES/2016,15672,,DISTRIBUIDORA GASO MEX SA DE CV,,Juárez,Chihuahua,Norte,31.73331,-106.4239
PL/13075/EXP/ES/2016,15673,,SALVADOR CARBAJAL SANTOYO,,Juárez,Chihuahua,Norte,31.40892,-106.4616
PL/13076/EXP/ES/2016,15674,,SERVICIOS ECOLOGICOS DE YUCATAN S DE RL DE CV,,Umán,Yucatán,Sureste,20.90574,-89.72086
PL/13077/EXP/ES/2016,15675,,GASOLINERA Y SERVICIOS DE LA CRUZ S DE RL DE CV,,Gómez Palacio,Durango,Norte,25.57818,-103.5055
PL/13078/EXP/ES/2016,15676,,MARIANO TOPETE MACEDO,,Mixtlán,Jalisco,Occidente,20.44892,-104.4094
PL/13079/EXP/ES/2016,15677,,MULTISERVICIOS DE CALAKMUL SA DE CV,,Calakmul,Quintana Roo,Sureste,18.50907,-89.41122
PL/1308/EXP/ES/2015,2884,,GRAFEL SA,,Azcapotzalco,Ciudad de México,Centro,19.46442,-99.15749
PL/13080/EXP/ES/2016,15678,,MULTISERVICIOS DE CALAKMUL SA DE CV,,Hopelchén,Campeche,Sureste,19.45757,-89.74154
PL/13081/EXP/ES/2016,15679,,GASERVICIO NACO SA DE CV,,Naco,Sonora,Noroeste,31.31379,-109.9464
PL/13082/EXP/ES/2016,15680,,SANTA ESTHER DISTRIBUIDORA SA DE CV,,Ocotlán,Jalisco,Occidente,20.37422,-102.6663
PL/13083/EXP/ES/2016,15681,,ESTACION DE SERVICIO SANTA ANA SA DE CV,,Tulancingo de Bravo,Hidalgo,Centro,20.15697,-98.29815
PL/13084/EXP/ES/2016,15682,,INMOBILIARIA MVC PENINSULAR SA DE CV,,Espita,Yucatán,Sureste,21.00768,-88.29601
PL/13085/EXP/ES/2016,15683,,REBECA OSUNA OSUNA,,San Ignacio,Sinaloa,Noroeste,23.72302,-106.7835
PL/13086/EXP/ES/2016,15684,,ESTACION DE SERVICIO POLOTITLAN SA DE CV,,Acapulco de Juárez,Guerrero,Sur,16.84881,-99.78913
PL/13087/EXP/ES/2016,14917,,GRUPO OPERATIVO BENEFICIO RURAL REGIONAL SA DE CV,,San Pedro Jicayán,Oaxaca,Sur,16.45302,-98.0203
PL/13088/EXP/ES/2016,15685,,AUTO SERVICIO DE LA CIENEGA S DE RL DE CV,,Vista Hermosa,Michoacán,Occidente,20.26629,-102.4749
PL/13089/EXP/ES/2016,15686,,NOGALES ENERGETICOS SA DE CV,,Tijuana,Baja California,Noroeste,32.50832,-116.9695
PL/1309/EXP/ES/2015,3044,,SERVICIOS GASOLINEROS SA,,Venustiano Carranza,Ciudad de México,Centro,19.44324,-99.08564
PL/13090/EXP/ES/2016,14913,,GRUPO OCCIDENTAL DE COMBUSTIBLES SA DE CV,,Manzanillo,Colima,Occidente,19.11993,-104.3582
PL/13091/EXP/ES/2016,14847,,GASOLINERA HASTA NO VER NO CREER SA DE CV,,Santo Tomás Ocotepec,Oaxaca,Sur,17.14053,-97.76394
PL/13092/EXP/ES/2016,15687,,ENRIQUE OROZCO RIOS,,Tangancícuaro,Michoacán,Occidente,19.83693,-102.2195
PL/13093/EXP/ES/2016,15688,,Gasolinera Nicos S de R.L. de C.V,,Soledad de Doblado,Veracruz,Golfo,19.0487,-96.408
PL/13094/EXP/ES/2016,15689,,GASOLINERA JARDEZ SA DE CV,,Ocotlán,Jalisco,Occidente,20.39146,-102.7489
PL/13095/EXP/ES/2016,15690,,"ROLIGAS, S.A DE C.V",,Hermosillo,Sonora,Noroeste,29.19741,-111.0022
PL/13096/EXP/ES/2016,15691,,ELOISA CAMBEROS ARAIZA,,Cuautitlán de García Barragán,Jalisco,Occidente,19.45141,-104.3658
PL/13097/EXP/ES/2016,15692,,EXELCO CARBURANTES S DE RL DE CV,,Nuevo Laredo,Tamaulipas,Noreste,27.4857,-99.5031
PL/13098/EXP/ES/2016,15693,,SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA DEL ESTADO DE QUINTANA ROO,,Lázaro Cárdenas,Quintana Roo,Sureste,21.08739,-87.48819
PL/13099/EXP/ES/2016,15694,,ESTACION DE SERVICIO LA RECTA PLATINO SA DE CV,,Puebla,Puebla,Centro,19.05927,-98.23294
PL/1310/EXP/ES/2015,14541,,AUTOCONSUMO TLALPAN S DE RL DE CV,,Coyoacán,Ciudad de México,Centro,19.32397,-99.13772
PL/13100/EXP/ES/2016,15695,,MARIA ELENA FLORES ACEVEDO,,Jerez,Zacatecas,Occidente,22.63181,-103.0007
PL/13101/EXP/ES/2016,14837,,ESTACION DE SERVICIO ARIEL SA DE CV,,Mineral de la Reforma,Hidalgo,Centro,20.03752,-98.73749
PL/13102/EXP/ES/2016,14838,,ESTACION DE SERVICIO ARIEL SA DE CV,,Mineral de la Reforma,Hidalgo,Centro,20.0992,-98.71631
PL/13103/EXP/ES/2016,14834,,ES GAS SA DE CV,,Lagos de Moreno,Jalisco,Occidente,21.47499,-101.7882
PL/13104/EXP/ES/2016,14835,,ES GAS SA DE CV,,León,Guanajuato,Occidente,21.08954,-101.6653
PL/13105/EXP/ES/2016,14863,,GASOLINERA SIERRA DE CAMAYECA SA DE CV,,Ahome,Sinaloa,Noroeste,25.97466,-109.0356
PL/13106/EXP/ES/2016,15696,,Petro Plaza SA de CV,,Cocula,Jalisco,Occidente,20.41684,-103.7641
PL/13107/EXP/ES/2016,14877,,JOSE MARIA RODRIGUEZ AMARO,,Irapuato,Guanajuato,Occidente,20.65705,-101.301
PL/13108/EXP/ES/2016,15697,,SERVICIOS CALZADA SA DE CV,,Culiacán,Sinaloa,Noroeste,24.80431,-107.3818
PL/13109/EXP/ES/2016,15698,,GASOLINERA GUAJARDO SA DE CV,,Río Bravo,Tamaulipas,Noreste,25.98572,-98.09031
PL/1311/EXP/ES/2015,3000,,SOLUGAS SOLUCIONES EN GASOLINERAS SA DE CV,,Zapopan,Jalisco,Occidente,20.77711,-103.4563
PL/13110/EXP/ES/2016,14907,,MARIA GRACIELA TIZOC RODRIGUEZ,,Culiacán,Sinaloa,Noroeste,24.76399,-107.3929
PL/13111/EXP/ES/2016,14908,,SOLUCIONES PETROLERAS NORTH SA DE CV,,Culiacán,Sinaloa,Noroeste,24.81496,-107.4147
PL/13112/EXP/ES/2016,14869,,SERVICIOS PERA QRO SA DE CV,,Querétaro,Querétaro,Centro,20.69639,-100.4398
PL/13113/EXP/ES/2016,14914,,TLACHICHINOLAPA SA DE CV,,Olinalá,Guerrero,Sur,17.76526,-98.74086
PL/13114/EXP/ES/2016,15699,,FRANCISCO SORIA LUNA,,Guadalupe,Chihuahua,Norte,31.38938,-106.1084
PL/13115/EXP/ES/2016,14857,,"GASOLINERA DE LOS RIOS, S.A. DE C.V.",,Palizada,Tabasco,Golfo,17.9429,-91.73357
PL/13116/EXP/ES/2016,15700,,Gasolineras Don Juan SA de CV,,Rayón,México,Centro,19.14003,-99.59161
PL/13117/EXP/ES/2016,14853,,ARIZPE SA DE CV,,Arizpe,Sonora,Noroeste,30.33231,-110.1736
PL/13118/EXP/ES/2016,14852,,ARIZPE SA DE CV,,Bacoachi,Sonora,Noroeste,30.63186,-109.9644
PL/13119/EXP/ES/2016,15701,,DIZACRO DEL RIO S DE RL DE CV,,Baviácora,Sonora,Noroeste,29.54454,-110.12
PL/1312/EXP/ES/2015,3082,,SUPER SERVICIO POZA RICA SA,,Morelia,Michoacán,Occidente,19.70521,-101.1778
PL/13120/EXP/ES/2016,15702,,RAFAEL ESTRADA FLORES,,Villa Guerrero,México,Centro,18.92293,-99.66198
PL/13121/EXP/ES/2016,15703,,PETROMIXTECAS SA DE CV,,San Pedro y San Pablo Teposcolula,Oaxaca,Sur,17.50678,-97.48326
PL/13122/EXP/ES/2016,15704,,PROMOTORA DINAMICA DE EMPRESAS SA DE CV,,Salvador Alvarado,Sinaloa,Noroeste,25.4773,-108.1636
PL/13123/EXP/ES/2016,14912,,SERVICIOS FETECO S.P.R. DE R.L.,,Tehuacán,Puebla,Centro,18.57017,-97.24128
PL/13124/EXP/ES/2016,15705,,JOSE ALBERTO ASIS CALDERON,,Frontera,Coahuila,Noreste,26.93187,-101.4685
PL/13125/EXP/ES/2016,15706,,OPERADORA DE MINIESTACIONES COMBUSERV SA DE CV,,Iztapalapa,México,Centro,19.35759,-98.98665
PL/13126/EXP/ES/2016,14895,,INMOBILIARIA MILLOALTO SA DE CV,,Milpa Alta,Ciudad de México,Centro,19.20243,-99.00644
PL/13127/EXP/ES/2016,14821,,VEVEGA S DE RL DE CV,,Huixquilucan,México,Centro,19.39774,-99.29031
PL/13128/EXP/ES/2016,15707,,FELIX ANGEL ELIZALDE CARRILLO,,Temixco,Morelos,Centro,18.86739,-99.22751
PL/13129/EXP/ES/2016,15708,,OPERADORA NACIONAL DE COMBUSTIBLES SA DE CV,,Aguascalientes,Aguascalientes,Occidente,21.73692,-102.2758
PL/1313/EXP/ES/2015,3140,,NOGALES ENERGETICOS SA DE CV,,,Baja California Sur,Noroeste,24.15411,-110.3116
PL/13130/EXP/ES/2016,14894,,SERVICIO LA REDENCION SA DE CV,,San Felipe del Progreso,México,Centro,19.6191,-99.9084
PL/13131/EXP/ES/2016,14836,,ESTACION DE SERVICIO ARIEL SA DE CV,,Pachuca de Soto,Hidalgo,Centro,20.10691,-98.74724
PL/13132/EXP/ES/2016,15709,,GASOEXPRESS LA CENTRAL DE TACAMBARO SA DE CV,,Tacámbaro,Michoacán,Occidente,19.23583,-101.4674
PL/13133/EXP/ES/2016,15710,,ESTHER AGUILAR UREÑA,,Manzanillo,Colima,Occidente,19.01368,-104.0969
PL/13134/EXP/ES/2016,15711,,SERVICIOS Y COMBUSTIBLES LEON SA DE CV,,Jesús María,Jalisco,Occidente,20.55238,-102.0453
PL/13135/EXP/ES/2016,15712,,SERVICIOS ECOLOGICOS DE CHAMPOTON SA DE CV,,Champotón,Campeche,Sureste,19.34277,-90.73247
PL/13136/EXP/ES/2016,15713,,SERVICIOS ECOLOGICOS DE CHAMPOTON SA DE CV,,Hecelchakán,Campeche,Sureste,20.17073,-90.14025
PL/13137/EXP/ES/2016,15714,,SERVICIOS ECOLOGICOS MUYIL SA DE CV,,Tenabo,Campeche,Sureste,20.0347,-90.22662
PL/13138/EXP/ES/2016,15715,,SERVICIOS ECOLOGICOS DE KANASIN SA DE CV,,Kanasín,Yucatán,Sureste,20.92477,-89.58138
PL/13139/EXP/ES/2016,15716,,ESTACION DE SERV Y SUMINIST IXTACOMITAN SA DE CV,,Ixtacomitán,Chiapas,Sur,17.44172,-93.10006
PL/1314/EXP/ES/2015,2761,,SERVICIO POINTER S DE RL DE CV,,Álvaro Obregón,Ciudad de México,Centro,19.36558,-99.20403
PL/13140/EXP/ES/2016,15717,,ESTACION DE SERVICIO DEL DESIERTO SA DE CV,,Hermosillo,Sonora,Noroeste,29.20981,-110.9261
PL/13141/EXP/ESA/2016,15718,,RED DE TRANSPORTE DE PASAJEROS DEL DISTRITO FEDERAL,,Tláhuac,Ciudad de México,Centro,19.25744,-99.01801
PL/13142/EXP/ESA/2016,15719,,RED DE TRANSPORTE DE PASAJEROS DEL DISTRITO FEDERAL,,Iztapalapa,Ciudad de México,Centro,19.32804,-99.05595
PL/13143/EXP/ESA/2016,15720,,RED DE TRANSPORTE DE PASAJEROS DEL DISTRITO FEDERAL,,Azcapotzalco,México,Centro,19.49936,-99.18623
PL/13144/EXP/ESA/2016,15721,,"NYRSTAR CAMPO MORADO, S.A. DE C.V. (antes FARALLON MINERA MEXICANA, S.A. DE C.V.)",,Arcelia,Guerrero,Sur,18.19283,-100.2214
PL/13145/EXP/ESA/2016,15722,,"FIVE BROHS, S.A. DE C.V.",,Benito Juárez,Quintana Roo,Sureste,21.10511,-86.84305
PL/13146/EXP/ESA/2016,15723,,"SERVI-TRANSPORTES VIGA, SA DE CV",,Guadalupe,Nuevo León,Noreste,25.70734,-100.203
PL/13147/EXP/ESA/2016,15724,,"SERVICIOS DE AGUA Y DRENAJE DE MONTERREY, I.P.D.",,Guadalupe,Nuevo León,Noreste,25.68038,-100.2417
PL/13148/EXP/ESA/2016,15725,,"SERVICIOS DE AGUA Y DRENAJE DE MONTERREY, I.P.D.",,Monterrey,Nuevo León,Noreste,25.67646,-100.34
PL/13149/EXP/ESA/2016,15726,,"SERVICIOS DE AGUA Y DRENAJE DE MONTERREY, I.P.D.",,San Nicolás de los Garza,Nuevo León,Noreste,25.74772,-100.2987
PL/1315/EXP/ES/2015,2813,,ACOG SA DE CV,,Ecatepec de Morelos,México,Centro,19.61233,-99.05357
PL/13150/EXP/ESA/2016,15727,,"SERVICIOS DE AGUA Y DRENAJE DE MONTERREY, I.P.D.",,Santa Catarina,Nuevo León,Noreste,25.67327,-100.4259
PL/13151/EXP/ESA/2016,15728,,"SERVICIOS ESPECIALIZADOS DE TRANSPORTE Y LOGISTICA, S.A. DE C.V.",,San Luis Potosí,San Luis Potosí,Noreste,22.1857,-101.033
PL/13152/EXP/ESA/2016,15729,,"LINEA DE AUTOBUSES MEX. S.JUAN TEO. OTU. APAM CAL. Y RAM FLECHA ROJA, S.A. DE CV",,Otumba,México,Centro,19.7013,-98.7644
PL/13153/EXP/ESA/2016,15730,,"TRANSPORTES INDUSTRIALES UNIDOS, S.A. DE C.V.",,Huiloapan de Cuauhtémoc,Veracruz,Golfo,18.8323,-97.10577
PL/13154/EXP/ESA/2016,15731,,COMERCIALIZADORA DE LACTEOS Y DERIVADOS SA DE CV,,Gómez Palacio,Durango,Norte,25.58011,-103.4557
PL/13155/EXP/ESA/2016,15732,,"AUTOTRANSPORTADORA JUMVA, S.A. DE C.V.",,San Luis Potosí,San Luis Potosí,Noreste,22.2099,-100.9976
PL/13156/EXP/ESA/2016,15733,,MUNICIPIO DE ZAPOPAN JALISCO,,Zapopan,Jalisco,Occidente,20.7384,-103.3919
PL/13157/EXP/ESA/2016,15734,,COMERCIALIZADORA LA PUREZA DE BEBIDAS S. DE R.L. DE C.V.,,Poza Rica de Hidalgo,Veracruz,Golfo,20.51425,-97.46363
PL/13158/EXP/ESA/2016,15735,,"AUTOTRANSPORTES TLAXCALA-APIZACO-HUAMANTLA, S.A. DE C.V.",,Yauhquemehcan,Tlaxcala,Centro,19.38311,-98.17817
PL/13159/EXP/ESA/2016,15736,,"TRANSPORTES URBANOS DEL SUR, S.C.",,Monterrey,Nuevo León,Noreste,25.59104,-100.253
PL/1316/EXP/ES/2015,2803,,SERVICIO J GUTIERREZ SA DE CV,,Álvaro Obregón,Ciudad de México,Centro,19.34644,-99.19034
PL/1317/EXP/ES/2015,3101,,ITACA ENERGY SA DE CV,,San Felipe,Guanajuato,Occidente,21.45698,-101.2012
PL/1318/EXP/ES/2015,2769,,ESTACION DE SERVICIO TRIPLE A SA DE CV,,Monclova,Coahuila,Noreste,26.90032,-101.4275
PL/1319/EXP/ES/2015,2856,,SERVICIO CAMARENA SA DE CV,,Arandas,Jalisco,Occidente,20.70535,-102.3505
PL/1320/EXP/ES/2015,3139,,SERVICIO AUTOPISTA PACHUCA S DE RL DE CV,,Ecatepec de Morelos,México,Centro,19.58002,-99.04434
PL/1321/EXP/ES/2015,2863,,SERVICIO JARDINES DE DURANGO SA DE CV,,Durango,Durango,Norte,24.04134,-104.6308
PL/13215/EXP/ES/2016,15784,,MULTILIQUIDOS DE HERMOSILLO SA DE CV,,Hermosillo,Sonora,Noroeste,28.83949,-111.4812
PL/13216/EXP/ES/2016,15785,,GOCSA SA DE CV,,Paraíso,Tabasco,Golfo,18.41412,-93.18326
PL/13217/EXP/ES/2016,15786,,SERVICIO RUIZ CORTINEZ S DE RL,,Tijuana,Baja California,Noroeste,32.52968,-117.0105
PL/13218/EXP/ES/2016,15787,,GASOMICH TARASCA SA DE CV,,Lázaro Cárdenas,Michoacán,Occidente,17.97573,-102.1877
PL/13219/EXP/ES/2016,15788,,GASOLINERA LIBRAMIENTO LA ORILLA SA DE CV,,Lázaro Cárdenas,Michoacán,Occidente,17.97401,-102.2344
PL/1322/EXP/ES/2015,3009,,SERVICIO GUADALUPE VICTORIA S DE RL DE CV,,Ecatepec de Morelos,México,Centro,19.61816,-99.06559
PL/13220/EXP/ES/2016,15789,,PLAZA ANTIGUA ESTACION SA DE CV,,San Gabriel,Jalisco,Occidente,19.75097,-103.765
PL/13221/EXP/ES/2016,15790,,GASOLINERA ACONCHI SA DE CV,,Aconchi,Sonora,Noroeste,29.83193,-110.2291
PL/13222/EXP/ES/2016,15791,,SERVICIOS MACUILI SA DE CV,,Centro,Tabasco,Golfo,17.98098,-93.02657
PL/13223/EXP/ES/2016,15792,,JOSE DEL CARMEN OLAN ARCE,,Comalcalco,Tabasco,Golfo,18.28237,-93.3811
PL/13224/EXP/ESA/2016,15793,,"INTEGRADORA DE TRANSPORTISTAS FRONTERIZOS, S. A. DE C. V.",,Juárez,Chihuahua,Norte,31.63065,-106.4193
PL/13225/EXP/ESA/2016,15794,,"TRANSPORTADORA EGOBA, S.A. DE C.V.",,Nuevo Laredo,Tamaulipas,Noreste,27.43101,-99.55242
PL/13226/EXP/ESA/2016,15795,,"TRANSPORTES ORTA, S.A DE C.V.",,García,Nuevo León,Noreste,25.78644,-100.4802
PL/1324/EXP/ES/2015,2606,,SERVICIOS GUERRERO DE ACAMBARO SA DE CV,,Acámbaro,Guanajuato,Occidente,20.04531,-100.7662
PL/1325/EXP/ES/2015,2720,,SERVICIO LAS JUNTAS SA DE CV,,Puerto Vallarta,Jalisco,Occidente,20.69294,-105.243
PL/1326/EXP/ES/2015,2634,,SERVICIO SAN PEDRITO SA DE CV,,Tlaquepaque,Jalisco,Occidente,20.61959,-103.2887
PL/1327/EXP/ES/2015,2650,,COMBUSTIBLES MB DE LA COSTA SA DE CV,,Villa Corzo,Chiapas,Sur,16.20841,-93.26566
PL/13278/EXP/ES/2016,15843,,GASOLINERAS  RAHEL SA DE CV,,San Pablo del Monte,Tlaxcala,Centro,19.11891,-98.16934
PL/13279/EXP/ES/2016,15844,,SERVICIO CACAHUATEPEC SA DE CV,,San Juan Cacahuatepec,Oaxaca,Sur,16.62269,-98.14931
PL/1328/EXP/ES/2015,2605,,GRUPO FERCHE SA DE CV,,Boca del Río,Veracruz,Golfo,19.12053,-96.10516
PL/13280/EXP/ES/2016,15845,,SERVICIO GASOLINERA ZAPOTLANEJO SA DE CV,,Zapotlanejo,Jalisco,Occidente,20.69546,-103.1476
PL/13281/EXP/ES/2016,15846,,HIDROLITRO LAGUNERO SA DE CV,,Matamoros,Coahuila,Noreste,25.53843,-103.228
PL/13282/EXP/ES/2016,15847,,LIZARDE Y COMPAÑIA SA DE CV,,Nochistlán de Mejía,Zacatecas,Occidente,21.4061,-102.7073
PL/13283/EXP/ES/2016,15848,,SUPER-SERVICIO EL ANCLA SA DE CV,,Cuautitlán Izcalli,México,Centro,19.62717,-99.20489
PL/13284/EXP/ES/2016,15849,,SERVICIOS GASOLINEROS DE MEXICO SA DE CV,,Chihuahua,Chihuahua,Norte,28.67347,-106.0261
PL/13285/EXP/ES/2016,15850,,SERVICIOS GASOLINEROS DE MEXICO SA DE CV,,Chihuahua,Chihuahua,Norte,28.71007,-106.0832
PL/13286/EXP/ES/2016,15851,,SERVICIOS GASOLINEROS DE MEXICO SA DE CV,,Aldama,Chihuahua,Norte,28.81266,-105.9348
PL/13288/EXP/ES/2016,15852,,SERVICIOS GASOLINEROS DE MEXICO SA DE CV,,Aguascalientes,Aguascalientes,Occidente,21.91474,-102.2926
PL/13289/EXP/ES/2016,15853,,SERVICIOS GASOLINEROS DE MEXICO SA DE CV,,Salamanca,Guanajuato,Occidente,20.55703,-101.1651
PL/1329/EXP/ES/2015,3171,,ELENA GARZA ESCOBOSA,,Durango,Durango,Norte,24.02714,-104.6337
PL/13290/EXP/ES/2016,15854,,SERVICIOS GASOLINEROS DE MEXICO SA DE CV,,Aguascalientes,Aguascalientes,Occidente,21.90195,-102.289
PL/13291/EXP/ES/2016,15855,,SERVICIOS GASOLINEROS DE MEXICO SA DE CV,,Chihuahua,Chihuahua,Norte,28.62524,-106.0703
PL/13292/EXP/ES/2016,15856,,SERVICIOS GASOLINEROS DE MEXICO SA DE CV,,Ojinaga,Chihuahua,Norte,29.55834,-104.412
PL/13293/EXP/ES/2016,15857,,SERVICIOS GASOLINEROS DE MEXICO SA DE CV,,Ojinaga,Chihuahua,Norte,29.55801,-104.4047
PL/13294/EXP/ES/2016,15858,,SERVICIOS GASOLINEROS DE MEXICO SA DE CV,,Chihuahua,Chihuahua,Norte,28.7221,-106.1484
PL/13295/EXP/ES/2016,15859,,"Gasolinas Humberto e Hijos, S.A. de C.V.",,Tamazula de Gordiano,Jalisco,Occidente,19.7378,-103.1922
PL/13296/EXP/ES/2016,15860,,SERVICIO NAGUSIA S DE RL DE CV,,Benito Juárez,Quintana Roo,Sureste,21.15222,-86.9082
PL/13297/EXP/ES/2016,15861,,SERVICIO LERMA EL DORADO SA DE CV,,Temoaya,México,Centro,19.41008,-99.6143
PL/13298/EXP/ES/2016,15862,,ESTACION DE SERVICIO SEMA SA DE CV,,Monclova,Coahuila,Noreste,26.90883,-101.4304
PL/13299/EXP/ES/2016,15863,,JOEL ARGUETA PIZAÑA,,Contepec,Michoacán,Occidente,19.98724,-100.2227
PL/1330/EXP/ES/2015,2677,,SANTA ANA ESTACION DE SERVICIOS SA DE CV,,Pénjamo,Michoacán,Occidente,20.35871,-102.0022
PL/13300/EXP/ES/2016,15864,,ESTACION DE SERVICIO GARCIA SA DE CV,,Cutzamala de Pinzón,Guerrero,Sur,18.59277,-100.5879
PL/13301/EXP/ES/2016,15865,,EDELMIRA LOPEZ COVARRUBIAS,,Badiraguato,Sinaloa,Noroeste,25.78669,-107.337
PL/13302/EXP/ES/2016,15866,,ESTACION DE SERVICIO ARIEL SA DE CV,,Pachuca de Soto,Hidalgo,Centro,20.12048,-98.74076
PL/1331/EXP/ES/2015,2737,,GRUPO FERCHE SA DE CV,,Xalapa,Veracruz,Golfo,19.56212,-96.92962
PL/1332/EXP/ES/2015,2633,,GASOLINERA JALTEPEC SA DE CV,,San José del Rincón,México,Centro,19.59531,-100.1251
