Permiso CRE,Place ID,Marca,Estacion,Direccion,Municipio,Estado,Region,Lat,Lon
CNE/PL/175/EXP/ES/2025,30375,,OKTAN QUALITY SA DE CV,,Altepexi,Puebla,Centro,18.3759,-97.28915
CNE/PL/176/EXP/ES/2025,30457,,"SUMINISTROS PAC, S.A. DE C.V.",,Puebla,Puebla,Centro,18.98233,-98.26831
CNE/PL/177/EXP/ES/2025,30387,,TCC GRUPO GASOLINERO SA DE CV,,Aguascalientes,Aguascalientes,Occidente,21.86941,-102.2727
CNE/PL/178/EXP/ES/2025,30454,,ESTACION EL SANTUARIO SA DE CV,,Villa de Reyes,San Luis Potosí,Noreste,21.79934,-100.9453
CNE/PL/179/EXP/ES/2025,30414,,COMBUSTIBLES FOSILES GT SA DE CV,,Sayula,Jalisco,Occidente,19.86143,-103.5315
CNE/PL/18/EXP/ES/2025,30229,,AMY SKY LINE SA DE CV,,León,Guanajuato,Occidente,21.12881,-101.6011
CNE/PL/180/EXP/ES/2025,30415,,"ROJO, ESTACION DE SERVICIO SA DE CV",,San Juan Evangelista,Veracruz,Golfo,17.90711,-95.11616
CNE/PL/181/EXP/ES/2025,30376,,GASOLINERA ATRIOS SA DE CV,,Cuautla,Morelos,Centro,18.86657,-98.94876
CNE/PL/182/EXP/ES/2025,30416,,SERVICIO OSPRI SA DE CV,,Morelia,Michoacán,Occidente,19.59929,-101.2908
CNE/PL/183/EXP/ES/2025,30451,,BLUE GAS SA DE CV,,Xiutetelco,Puebla,Centro,19.79136,-97.33045
CNE/PL/184/EXP/ES/2025,30449,,ALPEZ GAS SA DE CV,,Zapopan,Jalisco,Occidente,20.84715,-103.4292
CNE/PL/185/EXP/ES/2025,30447,,FOSELL BONATERRA SA DE CV,,Aguascalientes,Aguascalientes,Occidente,21.82919,-102.2884
CNE/PL/186/EXP/ES/2025,30417,,GRUPO EMPRESARIAL MORSAL SA DE CV,,Jalacingo,Puebla,Centro,19.79304,-97.29778
CNE/PL/187/EXP/ES/2025,30445,,GRUPO ENLACE GARCIA SA DE CV,,,Colima,Occidente,18.89634,-103.8595
CNE/PL/188/EXP/ES/2025,30443,,ARGAS SERVIMAX SA DE CV,,San Francisco de los Romo,Aguascalientes,Occidente,21.98206,-102.2701
CNE/PL/189/EXP/ES/2025,30418,,GASOLINERA MARTIN SA DE CV,,Ixtlahuacán de los Membrillos,Jalisco,Occidente,20.36508,-103.2543
CNE/PL/190/EXP/ES/2025,30440,,NATMEM SA DE CV,,El Marqués,Querétaro,Centro,20.62276,-100.261
CNE/PL/191/EXP/ES/2025,30423,,SERVICIO CUPULA SA DE CV,,Acolman,México,Centro,19.59667,-98.97612
CNE/PL/192/EXP/ES/2025,30439,,MULTISERVICIOS COPETIRO SA DE CV,,Peribán,Michoacán,Occidente,19.45565,-102.4548
CNE/PL/193/EXP/ES/2025,30404,,PETRO CUPATITZIO SA DE CV,,Uruapan,Michoacán,Occidente,19.42445,-102.0812
CNE/PL/194/EXP/ES/2025,30425,,GASOLINERA EL MAHOMA SA DE CV,,Ocozocoautla de Espinosa,Chiapas,Sur,16.75745,-93.36287
CNE/PL/195/EXP/ES/2025,30377,,TPI LOGISTICA SA DE CV,,,Campeche,Sureste,19.65398,-90.73797
CNE/PL/196/EXP/ES/2025,30435,,GENSA AUTO SERVICIO EXPRESS SA DE CV,,Cadereyta Jiménez,Nuevo León,Noreste,25.5813,-100.0032
CNE/PL/197/EXP/ES/2025,30434,,GASOLINERA TOCUARO SA DE CV,,Erongarícuaro,Michoacán,Occidente,19.54052,-101.6931
CNE/PL/198/EXP/ES/2025,30378,,SIVI GAS SA DE CV,,Chapantongo,Hidalgo,Centro,20.27422,-99.41286
CNE/PL/199/EXP/ES/2025,30432,,REYNA OCHOA ARROYO,,Taretan,Michoacán,Occidente,19.30286,-101.8813
CNE/PL/2/EXP/ES/2025,30207,,MEGA GASOLINERAS SA DE CV,,Celaya,Guanajuato,Occidente,20.54985,-100.8226
CNE/PL/200/EXP/ES/2025,30433,,GRUPO GASOLINERO BUGATTI SA DE CV,,Celaya,Guanajuato,Occidente,20.51821,-100.858
CNE/PL/201/EXP/ES/2025,30431,,MULTISERVICIOS JUCUTACATO SA DE CV,,Uruapan,Michoacán,Occidente,19.38069,-102.0788
CNE/PL/202/EXP/ES/2025,30430,,ANTONIO NAÑEZ BUGARIN,,Tlajomulco de Zúñiga,Jalisco,Occidente,20.54511,-103.4016
CNE/PL/203/EXP/ES/2025,30406,,HS ENERGY GROUP SA DE CV,,La Unión de Isidoro Montes de Oca,Guerrero,Sur,18.00184,-102.1614
CNE/PL/204/EXP/ES/2025,30379,,GPDC ESTACIONES DE SERVICIO SA DE CV,,Querétaro,Querétaro,Centro,20.62719,-100.4983
CNE/PL/205/EXP/ES/2025,30397,,SERVICIO R. ALMADA SA DE CV,,Chihuahua,Chihuahua,Norte,28.58323,-106.0344
CNE/PL/206/EXP/ES/2025,30429,,SUMINISTROS CIRCUITO UNIVERSIDADES QUERETARO SA DE CV,,El Marqués,Querétaro,Centro,20.64461,-100.3357
CNE/PL/207/EXP/ES/2025,30428,,GRUPO ODISEA COMBUSTIBLES SA DE CV,,Tonalá,Jalisco,Occidente,20.55908,-103.2253
CNE/PL/208/EXP/ES/2025,30380,,MOANA PETRO SA DE CV,,Atoyac de Álvarez,Guerrero,Sur,17.20194,-100.439
CNE/PL/209/EXP/ES/2025,30427,,ADA BERENICE LEYVA ESCOBEDO,,Chihuahua,Chihuahua,Norte,28.64542,-106.0133
CNE/PL/210/EXP/ES/2025,30426,,LOS PINOS HIDROCARBUROS S DE RL DE CV,,Namiquipa,Chihuahua,Norte,29.42761,-107.3714
CNE/PL/211/EXP/ES/2025,30424,,REINA GUADALUPE LEYVA ESCOBEDO,,Chihuahua,Chihuahua,Norte,28.77288,-106.1661
CNE/PL/212/EXP/ES/2025,30422,,PETROCAR DEL SOL SA DE CV,,Morelia,Michoacán,Occidente,19.6466,-101.1536
CNE/PL/213/EXP/ES/2025,30421,,SUPER GAS PADELMA SA DE CV,,Paso del Macho,Veracruz,Golfo,18.96118,-96.73649
CNE/PL/214/EXP/ES/2025,30408,,SERVICIO NUEXES SA DE CV,,Huamantla,Tlaxcala,Centro,19.3065,-97.9259
CNE/PL/215/EXP/ES/2025,30410,,TUYEN SA DE CV,,Puebla,Puebla,Centro,19.02782,-98.18938
CNE/PL/216/EXP/ES/2025,30436,,ENERGETICOS DEL ALTIPLANO SA DE CV,,Apodaca,Nuevo León,Noreste,25.79924,-100.203
CNE/PL/217/EXP/ES/2025,30420,,FRANSA GAS SA DE CV,,Jacona,Michoacán,Occidente,19.94434,-102.3114
CNE/PL/218/EXP/ES/2025,30419,,ESTACION DE SERVICIOS PORTICOS SA DE CV,,Tijuana,Baja California,Noroeste,32.45882,-116.9809
CNE/PL/219/EXP/ES/2025,30411,,ESTACION DE SERVICIO INVIERNO SA DE CV,,Xochitepec,Morelos,Centro,18.79606,-99.2002
CNE/PL/220/EXP/ES/2025,30381,,GRUPO ENERGETICO FERCAMPO SA DE CV,,Oaxaca de Juárez,Oaxaca,Sur,17.06879,-96.741
CNE/PL/221/EXP/ES/2025,30382,,SUPER SERVICIOS VALPALOSAGOIR SA DE CV,,Coatzacoalcos,Veracruz,Golfo,18.14895,-94.47227
CNE/PL/222/EXP/ES/2025,30437,,GASOLINERA AHUACATLAN SA DE CV,,Huehuetlán,San Luis Potosí,Noreste,21.48818,-98.97778
CNE/PL/223/EXP/ES/2025,30409,,SERVICIO COMBUREAL SA DE CV,,Corregidora,Querétaro,Centro,20.57225,-100.4458
CNE/PL/224/EXP/ES/2025,30383,,OPERADORA TONINA SA DE CV,,Ocosingo,Chiapas,Sur,16.89672,-92.07353
CNE/PL/225/EXP/ES/2025,30412,,COMBUSTIBLES FLOHIN SA DE CV,,Reynosa,Tamaulipas,Noreste,26.05353,-98.37439
CNE/PL/226/EXP/ES/2025,30438,,SUPRAGAS SA DE CV,,Delicias,Chihuahua,Norte,28.1953,-105.4481
CNE/PL/227/EXP/ES/2025,30441,,ADMINISTRADORA DEL COLORADO S DE RL DE CV,,,Baja California,Noroeste,32.62326,-115.4649
CNE/PL/228/EXP/ES/2025,30407,,INMOBILIARIA SEREQUE S DE RL DE CV,,Solidaridad,Quintana Roo,Sureste,20.67214,-87.06062
CNE/PL/229/EXP/ES/2025,30405,,FONDO CHIAPAS S A P I DE CV,,Tuxtla Gutiérrez,Chiapas,Sur,16.76482,-93.18913
CNE/PL/230/EXP/ES/2025,30413,,PETRO PLAN DE GUADALUPE SA DE CV,,Ramos Arizpe,Coahuila,Noreste,25.54694,-100.9431
CNE/PL/231/EXP/ES/2025,30444,,SURTIDORES ENERGETICOS MUSA SA DE CV,,Saltillo,Coahuila,Noreste,25.45833,-100.9658
CNE/PL/232/EXP/ES/2025,30400,,HUMBERTO FLORES JIMENEZ,,Arcelia,Guerrero,Sur,18.31677,-100.2815
CNE/PL/233/EXP/ES/2025,30402,,SERVICIOS COMERCIALES CL SA DE CV,,Venustiano Carranza,Chiapas,Sur,16.34801,-92.6792
CNE/PL/234/EXP/ES/2025,30401,,SERVICIOS ECOLOGICOS DE KANASIN SA DE CV,,Benito Juárez,Quintana Roo,Sureste,21.09159,-86.84144
CNE/PL/275/EXP/ES/2025,30587,,ORVI COMBUSTIBLES SA DE CV,,Villa Guerrero,México,Centro,18.90799,-99.65499
