Fecha,Region,Estado,Municipio,Estacion,Permiso CRE,Direccion,Regular,Premium,Diesel
2026-08-17,No especificado,No especificado,No especificado,,PL/993/EXP/ES/2015,,23.99,29.29,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/992/EXP/ES/2015,,24.00,29.99,
2026-08-17,No especificado,No especificado,No especificado,,PL/991/EXP/ES/2015,,23.99,,
2026-08-17,No especificado,No especificado,No especificado,,PL/989/EXP/ES/2015,,23.96,28.80,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/988/EXP/ES/2015,,23.99,28.60,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/987/EXP/ES/2015,,23.99,28.89,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/986/EXP/ES/2015,,23.89,28.18,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/985/EXP/ES/2015,,23.29,27.85,
2026-08-17,No especificado,No especificado,No especificado,,PL/984/EXP/ES/2015,,23.79,28.29,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/983/EXP/ES/2015,,23.99,29.19,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/982/EXP/ES/2015,,23.99,29.69,
2026-08-17,No especificado,No especificado,No especificado,,PL/981/EXP/ES/2015,,23.59,27.99,
2026-08-17,No especificado,No especificado,No especificado,,PL/980/EXP/ES/2015,,24.19,29.49,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9791/EXP/ES/2015,,23.99,29.99,
2026-08-17,No especificado,No especificado,No especificado,SERVICIOS GASOLINEROS DE MÉXICO S.A. DE C.V.,PL/9790/EXP/ES/2015,Carretera Guadalajara-Morelia Km 36,23.99,29.99,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/979/EXP/ES/2015,,22.83,27.25,26.48
2026-08-17,No especificado,No especificado,No especificado,,PL/9789/EXP/ES/2015,,23.99,29.99,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9788/EXP/ES/2015,,24.65,29.60,28.55
2026-08-17,No especificado,No especificado,No especificado,SERVICIOS GASOLINEROS DE MÉXICO S.A. DE C.V.,PL/9787/EXP/ES/2015,Avenida Adolfo López Mateos Sur No. 2959,23.99,29.99,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9786/EXP/ES/2015,,24.49,29.68,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9785/EXP/ES/2015,,23.49,28.39,
2026-08-17,No especificado,No especificado,No especificado,,PL/9784/EXP/ES/2015,,24.99,29.29,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9783/EXP/ES/2015,,23.99,29.29,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9781/EXP/ES/2015,,23.99,29.29,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9780/EXP/ES/2015,,24.99,29.29,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/978/EXP/ES/2015,,,29.09,26.99
2026-08-17,No especificado,No especificado,No especificado,,PL/9779/EXP/ES/2015,,23.99,28.60,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9778/EXP/ES/2015,,23.99,29.29,27.00
