Fecha,Region,Estado,Municipio,Estacion,Permiso CRE,Direccion,Regular,Premium,Diesel
2026-08-17,,,,,PL/9934/EXP/ES/2015,,23.99,28.86,27.00
2026-08-17,,,,,PL/9933/EXP/ES/2015,,23.99,28.86,27.00
2026-08-17,,,,,PL/9932/EXP/ES/2015,,23.99,28.86,27.00
2026-08-17,,,,,PL/9931/EXP/ES/2015,,20.13,24.14,25.15
2026-08-17,,,,,PL/993/EXP/ES/2015,,23.99,29.29,27.00
2026-08-17,,,,,PL/992/EXP/ES/2015,,24.00,29.99,
2026-08-17,,,,,PL/991/EXP/ES/2015,,23.99,,
2026-08-17,,,,,PL/989/EXP/ES/2015,,23.96,28.80,27.00
2026-08-17,,,,,PL/988/EXP/ES/2015,,23.99,28.60,27.00
2026-08-17,,,,,PL/987/EXP/ES/2015,,23.99,28.89,27.00
2026-08-17,,,,,PL/986/EXP/ES/2015,,23.89,28.18,27.00
2026-08-17,,,,,PL/985/EXP/ES/2015,,23.29,27.85,
2026-08-17,,,,,PL/984/EXP/ES/2015,,23.79,28.29,27.00
2026-08-17,,,,,PL/983/EXP/ES/2015,,23.99,29.19,27.00
2026-08-17,,,,,PL/982/EXP/ES/2015,,23.99,29.69,
2026-08-17,,,,,PL/981/EXP/ES/2015,,23.59,27.99,
2026-08-17,,,,,PL/980/EXP/ES/2015,,24.19,29.49,27.00
2026-08-17,,,,,PL/9791/EXP/ES/2015,,23.99,29.99,
2026-08-17,,,,SERVICIOS GASOLINEROS DE MÉXICO S.A. DE C.V.,PL/9790/EXP/ES/2015,Carretera Guadalajara-Morelia Km 36,23.99,29.99,27.00
2026-08-17,,,,,PL/979/EXP/ES/2015,,22.83,27.25,26.48
2026-08-17,,,,,PL/9789/EXP/ES/2015,,23.99,29.99,27.00
2026-08-17,,,,,PL/9788/EXP/ES/2015,,24.65,29.60,28.55
2026-08-17,,,,SERVICIOS GASOLINEROS DE MÉXICO S.A. DE C.V.,PL/9787/EXP/ES/2015,Avenida Adolfo López Mateos Sur No. 2959,23.99,29.99,27.00
2026-08-17,,,,,PL/9786/EXP/ES/2015,,24.49,29.68,27.00
2026-08-17,,,,,PL/9785/EXP/ES/2015,,23.49,28.39,
2026-08-17,,,,,PL/9784/EXP/ES/2015,,24.99,29.29,27.00
2026-08-17,,,,,PL/9783/EXP/ES/2015,,23.99,29.29,27.00
2026-08-17,,,,,PL/9781/EXP/ES/2015,,23.99,29.29,27.00
2026-08-17,,,,,PL/9780/EXP/ES/2015,,24.99,29.29,27.00
2026-08-17,,,,,PL/978/EXP/ES/2015,,,29.09,26.99
2026-08-17,,,,,PL/9779/EXP/ES/2015,,23.99,28.60,27.00
2026-08-17,,,,,PL/9778/EXP/ES/2015,,23.99,29.29,27.00
2026-08-17,,,,,PL/9777/EXP/ES/2015,,23.99,29.29,27.00
2026-08-17,,,,,PL/9776/EXP/ES/2015,,24.99,29.29,27.00
2026-08-17,,,,,PL/9775/EXP/ES/2015,,23.99,29.29,27.00
2026-08-17,,,,,PL/9774/EXP/ES/2015,,23.99,29.29,27.00
2026-08-17,,,,,PL/9773/EXP/ES/2015,,24.99,29.29,27.00
2026-08-17,,,,,PL/9772/EXP/ES/2015,,23.99,29.29,27.00
2026-08-17,,,,,PL/9771/EXP/ES/2015,,23.99,29.29,27.00
2026-08-17,,,,,PL/9770/EXP/ES/2015,,23.99,28.99,27.00
2026-08-17,,,,,PL/977/EXP/ES/2015,,24.19,29.39,
2026-08-17,,,,,PL/9769/EXP/ES/2015,,24.99,29.29,27.00
2026-08-17,,,,,PL/9768/EXP/ES/2015,,23.99,29.69,
2026-08-17,,,,,PL/9767/EXP/ES/2015,,23.99,29.29,27.00
2026-08-17,,,,,PL/9766/EXP/ES/2015,,24.49,29.99,
2026-08-17,,,,,PL/9765/EXP/ES/2015,,23.99,29.99,
2026-08-17,,,,,PL/9764/EXP/ES/2015,,24.00,28.00,27.50
2026-08-17,,,,,PL/9763/EXP/ES/2015,,23.99,27.48,
2026-08-17,,,,,PL/9762/EXP/ES/2015,,23.97,28.93,27.00
2026-08-17,,,,,PL/9761/EXP/ES/2015,,21.47,25.00,26.97
2026-08-17,,,,,PL/976/EXP/ES/2015,,23.00,27.60,26.80
2026-08-17,,,,,PL/9759/EXP/ES/2015,,23.99,28.48,27.00
2026-08-17,,,,,PL/9758/EXP/ES/2015,,23.99,29.58,27.00
2026-08-17,,,,,PL/9757/EXP/ES/2015,,23.96,28.84,27.00
2026-08-17,,,,,PL/9756/EXP/ES/2015,,23.99,28.85,27.00
2026-08-17,,,,,PL/9755/EXP/ES/2015,,23.99,28.99,
2026-08-17,,,,,PL/9754/EXP/ES/2015,,23.99,28.89,27.00
2026-08-17,,,,,PL/9753/EXP/ES/2015,,23.99,28.70,27.00
2026-08-17,,,,,PL/9752/EXP/ES/2015,,24.79,29.49,
2026-08-17,,,,,PL/9751/EXP/ES/2015,,24.79,29.49,26.99
2026-08-17,,,,,PL/9750/EXP/ES/2015,,24.79,29.49,26.99
2026-08-17,,,,,PL/975/EXP/ES/2015,,23.99,28.10,
2026-08-17,,,,,PL/9749/EXP/ES/2015,,23.99,28.85,
2026-08-17,,,,,PL/9748/EXP/ES/2015,,23.99,,27.00
2026-08-17,,,,,PL/9747/EXP/ES/2015,,23.99,28.99,26.99
2026-08-17,,,,SAVLOZ COMPANNY S.A. DE C.V.,PL/9746/EXP/ES/2015,Ejidal Emiliano Zapata No. 10,23.99,29.99,26.99
2026-08-17,,,,,PL/9745/EXP/ES/2015,,23.99,,27.50
2026-08-17,,,,,PL/9744/EXP/ES/2015,,23.15,27.79,
2026-08-17,,,,,PL/9743/EXP/ES/2015,,23.99,29.40,26.99
2026-08-17,,,,,PL/9742/EXP/ES/2015,,23.95,28.65,
2026-08-17,,,,,PL/9741/EXP/ES/2015,,23.99,28.99,26.99
2026-08-17,,,,,PL/974/EXP/ES/2015,,24.19,29.49,27.49
2026-08-17,,,,,PL/9739/EXP/ES/2015,,23.40,27.37,26.99
2026-08-17,,,,,PL/9738/EXP/ES/2015,,23.99,28.65,27.14
2026-08-17,,,,,PL/9737/EXP/ES/2015,,23.98,29.14,27.00
2026-08-17,,,,,PL/9736/EXP/ES/2015,,23.99,,27.00
2026-08-17,,,,,PL/9735/EXP/ES/2015,,21.29,24.79,25.39
2026-08-17,,,,,PL/9734/EXP/ES/2015,,,28.99,27.00
2026-08-17,,,,,PL/9733/EXP/ES/2015,,24.40,29.61,27.99
2026-08-17,,,,,PL/9731/EXP/ES/2015,,23.89,27.99,26.99
2026-08-17,,,,,PL/9730/EXP/ES/2015,,23.98,28.49,27.00
2026-08-17,,,,,PL/973/EXP/ES/2015,,24.19,29.49,27.00
2026-08-17,,,,,PL/9729/EXP/ES/2015,,23.99,29.29,26.99
2026-08-17,,,,,PL/9728/EXP/ES/2015,,24.00,28.70,
2026-08-17,,,,,PL/9727/EXP/ES/2015,,23.99,28.91,27.00
2026-08-17,,,,,PL/9726/EXP/ES/2015,,23.28,28.13,26.99
2026-08-17,,,,,PL/9725/EXP/ES/2015,,22.65,27.00,27.00
2026-08-17,,,,,PL/9724/EXP/ES/2015,,23.99,29.34,27.00
2026-08-17,,,,,PL/9723/EXP/ES/2015,,23.99,29.34,27.00
2026-08-17,,,,,PL/9722/EXP/ES/2015,,24.38,29.58,
2026-08-17,,,,,PL/9721/EXP/ES/2015,,23.99,29.89,
2026-08-17,,,,,PL/9720/EXP/ES/2015,,23.99,29.34,27.00
2026-08-17,,,,,PL/972/EXP/ES/2015,,23.99,29.99,27.00
2026-08-17,,,,,PL/9719/EXP/ES/2015,,23.70,27.50,
2026-08-17,,,,,PL/9718/EXP/ES/2015,,23.97,29.14,27.00
2026-08-17,,,,,PL/9717/EXP/ES/2015,,23.50,27.70,
2026-08-17,,,,,PL/9716/EXP/ES/2015,,23.61,,27.00
2026-08-17,,,,,PL/9715/EXP/ES/2015,,23.99,28.95,
2026-08-17,,,,,PL/9714/EXP/ES/2015,,23.69,27.59,
2026-08-17,,,,,PL/9713/EXP/ES/2015,,23.29,28.48,27.00
2026-08-17,,,,,PL/9712/EXP/ES/2015,,20.15,,26.99
2026-08-17,,,,,PL/9711/EXP/ES/2015,,23.95,27.80,26.98
2026-08-17,,,,,PL/9710/EXP/ES/2015,,23.99,29.99,
2026-08-17,,,,,PL/971/EXP/ES/2015,,23.99,28.80,27.00
2026-08-17,,,,,PL/9709/EXP/ES/2015,,23.99,28.99,27.99
2026-08-17,,,,,PL/9708/EXP/ES/2015,,23.99,28.99,27.99
2026-08-17,,,,,PL/9707/EXP/ES/2015,,23.67,27.47,26.85
2026-08-17,,,,,PL/9706/EXP/ES/2015,,23.44,27.68,
2026-08-17,,,,,PL/9704/EXP/ES/2015,,23.48,28.49,
2026-08-17,,,,,PL/9703/EXP/ES/2015,,23.99,,27.00
2026-08-17,,,,,PL/9702/EXP/ES/2015,,23.75,28.79,
2026-08-17,,,,,PL/9701/EXP/ES/2015,,23.60,27.75,26.85
2026-08-17,,,,,PL/9700/EXP/ES/2015,,23.99,28.30,27.00
2026-08-17,,,,,PL/970/EXP/ES/2015,,23.99,28.84,27.00
2026-08-17,,,,,PL/9699/EXP/ES/2015,,24.49,29.89,27.50
2026-08-17,,,,,PL/9698/EXP/ES/2015,,23.42,27.94,26.85
2026-08-17,,,,,PL/9697/EXP/ES/2015,,24.00,29.59,27.00
2026-08-17,,,,,PL/9696/EXP/ES/2015,,23.99,,27.00
2026-08-17,,,,,PL/9695/EXP/ES/2015,,23.99,27.99,27.00
2026-08-17,,,,,PL/9694/EXP/ES/2015,,23.85,28.80,
2026-08-17,,,,,PL/9693/EXP/ES/2015,,24.00,,27.00
2026-08-17,,,,,PL/9692/EXP/ES/2015,,23.49,28.29,
2026-08-17,,,,,PL/9691/EXP/ES/2015,,23.99,,27.00
2026-08-17,,,,,PL/9690/EXP/ES/2015,,23.99,28.49,27.00
2026-08-17,,,,,PL/969/EXP/ES/2015,,24.00,28.50,27.00
2026-08-17,,,,,PL/9689/EXP/ES/2015,,23.99,29.55,27.49
2026-08-17,,,,,PL/9688/EXP/ES/2015,,22.89,27.99,25.39
2026-08-17,,,,,PL/9687/EXP/ES/2015,,23.39,28.19,26.79
2026-08-17,,,,,PL/9686/EXP/ES/2015,,23.99,24.99,23.29
2026-08-17,,,,,PL/9685/EXP/ES/2015,,22.89,27.99,
2026-08-17,,,,,PL/9684/EXP/ES/2015,,23.99,29.49,26.99
2026-08-17,,,,,PL/9683/EXP/ES/2015,,23.99,28.39,27.00
2026-08-17,,,,,PL/9682/EXP/ES/2015,,22.89,27.29,26.99
2026-08-17,,,,,PL/9681/EXP/ES/2015,,23.99,28.89,27.00
2026-08-17,,,,,PL/9680/EXP/ES/2015,,23.37,27.59,
2026-08-17,,,,,PL/968/EXP/ES/2015,,23.99,28.45,27.00
2026-08-17,,,,,PL/9679/EXP/ES/2015,,23.28,23.97,26.99
2026-08-17,,,,,PL/9678/EXP/ES/2015,,23.99,28.99,27.00
2026-08-17,,,,,PL/9677/EXP/ES/2015,,23.44,27.74,26.85
2026-08-17,,,,,PL/9676/EXP/ES/2015,,23.79,29.99,27.00
2026-08-17,,,,,PL/9675/EXP/ES/2015,,23.99,27.99,27.00
2026-08-17,,,,,PL/9674/EXP/ES/2015,,22.99,26.99,
2026-08-17,,,,,PL/9673/EXP/ES/2015,,22.95,27.50,
2026-08-17,,,,,PL/9672/EXP/ES/2015,,24.99,29.99,
2026-08-17,,,,,PL/9671/EXP/ES/2015,,19.99,22.99,
2026-08-17,,,,,PL/9670/EXP/ES/2015,,24.50,30.50,27.00
2026-08-17,,,,,PL/967/EXP/ES/2015,,21.39,28.99,
2026-08-17,,,,,PL/9669/EXP/ES/2015,,23.98,28.78,27.00
2026-08-17,,,,,PL/9668/EXP/ES/2015,,19.99,,26.99
2026-08-17,,,,,PL/9667/EXP/ES/2015,,23.99,27.99,26.99
2026-08-17,,,,,PL/9666/EXP/ES/2015,,23.65,27.25,
2026-08-17,,,,,PL/9665/EXP/ES/2015,,23.99,29.97,
2026-08-17,,,,,PL/9664/EXP/ES/2015,,23.97,29.63,27.00
2026-08-17,,,,,PL/9663/EXP/ES/2015,,23.99,,26.99
2026-08-17,,,,,PL/9662/EXP/ES/2015,,21.99,26.99,24.99
2026-08-17,,,,,PL/9660/EXP/ES/2015,,23.99,29.97,
2026-08-17,,,,,PL/966/EXP/ES/2015,,23.99,28.89,27.00
2026-08-17,,,,,PL/9659/EXP/ES/2015,,20.59,,26.99
2026-08-17,,,,,PL/9658/EXP/ES/2015,,23.99,27.99,26.99
2026-08-17,,,,,PL/9657/EXP/ES/2015,,19.79,25.39,26.99
2026-08-17,,,,,PL/9656/EXP/ES/2015,,20.15,,26.99
2026-08-17,,,,,PL/9655/EXP/ES/2015,,20.15,25.39,
2026-08-17,,,,,PL/9654/EXP/ES/2015,,19.75,25.39,26.99
2026-08-17,,,,,PL/9653/EXP/ES/2015,,19.79,25.39,26.99
2026-08-17,,,,,PL/9652/EXP/ES/2015,,23.99,28.59,27.29
2026-08-17,,,,,PL/9651/EXP/ES/2015,,20.99,,26.99
2026-08-17,,,,,PL/9650/EXP/ES/2015,,20.70,,26.99
2026-08-17,,,,,PL/965/EXP/ES/2015,,24.19,29.49,27.49
2026-08-17,,,,,PL/9649/EXP/ES/2015,,20.49,,26.99
2026-08-17,,,,,PL/9648/EXP/ES/2015,,20.70,,26.99
2026-08-17,,,,,PL/9647/EXP/ES/2015,,24.49,29.99,27.00
2026-08-17,,,,,PL/9646/EXP/ES/2015,,18.99,22.99,
2026-08-17,,,,,PL/9645/EXP/ES/2015,,23.99,28.69,27.49
2026-08-17,,,,,PL/9644/EXP/ES/2015,,20.15,25.39,26.99
2026-08-17,,,,,PL/9643/EXP/ES/2015,,20.15,25.39,26.99
2026-08-17,,,,,PL/9642/EXP/ES/2015,,19.79,,26.99
2026-08-17,,,,,PL/9641/EXP/ES/2015,,20.15,25.39,
2026-08-17,,,,,PL/9640/EXP/ES/2015,,23.29,27.69,26.99
2026-08-17,,,,,PL/964/EXP/ES/2015,,24.19,29.49,27.49
2026-08-17,,,,,PL/9639/EXP/ES/2015,,23.99,28.89,27.00
2026-08-17,,,,,PL/9638/EXP/ES/2015,,23.99,27.99,
2026-08-17,,,,,PL/9637/EXP/ES/2015,,23.69,27.65,27.00
2026-08-17,,,,,PL/9636/EXP/ES/2015,,23.79,28.09,
2026-08-17,,,,,PL/9635/EXP/ES/2015,,23.70,27.99,
2026-08-17,,,,,PL/9634/EXP/ES/2015,,23.69,28.79,27.00
2026-08-17,,,,,PL/9633/EXP/ES/2015,,24.39,29.72,27.00
2026-08-17,,,,,PL/9632/EXP/ES/2015,,23.99,28.79,27.00
2026-08-17,,,,,PL/9631/EXP/ES/2015,,20.99,23.99,25.50
2026-08-17,,,,,PL/9630/EXP/ES/2015,,23.99,28.79,27.00
2026-08-17,,,,,PL/963/EXP/ES/2015,,24.49,29.69,
2026-08-17,,,,,PL/9629/EXP/ES/2015,,23.50,27.00,27.50
2026-08-17,,,,,PL/9628/EXP/ES/2015,,23.99,28.50,
2026-08-17,,,,,PL/9627/EXP/ES/2015,,23.99,28.50,27.00
2026-08-17,,,,,PL/9626/EXP/ES/2015,,23.99,28.50,27.00
2026-08-17,,,,,PL/9625/EXP/ES/2015,,23.99,28.49,27.00
2026-08-17,,,,,PL/9623/EXP/ES/2015,,22.59,23.89,24.19
2026-08-17,,,,,PL/9622/EXP/ES/2015,,23.79,24.69,25.59
2026-08-17,,,,,PL/9621/EXP/ES/2015,,23.99,28.68,27.00
2026-08-17,,,,,PL/9620/EXP/ES/2015,,23.89,28.69,
2026-08-17,,,,,PL/962/EXP/ES/2015,,25.39,28.89,28.28
2026-08-17,,,,,PL/9619/EXP/ES/2015,,23.45,28.40,26.99
2026-08-17,,,,,PL/9618/EXP/ES/2015,,25.38,,27.99
2026-08-17,,,,,PL/9617/EXP/ES/2015,,23.99,29.99,27.00
2026-08-17,,,,,PL/9616/EXP/ES/2015,,23.55,,26.60
2026-08-17,,,,,PL/9615/EXP/ES/2015,,23.99,29.97,
2026-08-17,,,,,PL/9614/EXP/ES/2015,,23.99,29.97,
2026-08-17,,,,,PL/9613/EXP/ES/2015,,23.99,29.97,
2026-08-17,,,,,PL/9612/EXP/ES/2015,,23.99,29.97,27.00
2026-08-17,,,,,PL/9611/EXP/ES/2015,,23.98,,27.00
2026-08-17,,,,,PL/9610/EXP/ES/2015,,23.29,28.49,25.39
2026-08-17,,,,,PL/961/EXP/ES/2015,,24.49,29.99,27.99
2026-08-17,,,,,PL/9609/EXP/ES/2015,,23.97,28.99,26.99
2026-08-17,,,,,PL/9608/EXP/ES/2015,,23.99,28.29,26.99
2026-08-17,,,,,PL/9607/EXP/ES/2015,,23.97,28.99,26.99
2026-08-17,,,,,PL/9606/EXP/ES/2015,,22.99,28.29,
2026-08-17,,,,,PL/9605/EXP/ES/2015,,23.99,28.48,
2026-08-17,,,,,PL/9604/EXP/ES/2015,,20.97,,
2026-08-17,,,,,PL/9603/EXP/ES/2015,,23.99,29.69,27.20
2026-08-17,,,,,PL/9602/EXP/ES/2015,,23.99,28.95,
2026-08-17,,,,,PL/9601/EXP/ES/2015,,23.99,28.48,
2026-08-17,,,,,PL/9600/EXP/ES/2015,,23.99,28.48,
2026-08-17,,,,,PL/960/EXP/ES/2015,,23.99,29.49,27.00
2026-08-17,,,,,PL/9599/EXP/ES/2015,,22.89,26.69,
2026-08-17,,,,,PL/9598/EXP/ES/2015,,23.99,27.95,27.00
2026-08-17,,,,,PL/9597/EXP/ES/2015,,23.99,28.34,27.00
2026-08-17,,,,,PL/9596/EXP/ES/2015,,23.26,27.70,26.90
2026-08-17,,,,,PL/9595/EXP/ES/2015,,23.99,28.49,28.49
2026-08-17,,,,,PL/9594/EXP/ES/2015,,23.99,28.99,26.99
2026-08-17,,,,,PL/9593/EXP/ES/2015,,23.99,28.99,26.99
2026-08-17,,,,,PL/9592/EXP/ES/2015,,23.49,27.24,27.00
2026-08-17,,,,,PL/9591/EXP/ES/2015,,23.99,28.59,27.00
2026-08-17,,,,,PL/9590/EXP/ES/2015,,23.09,26.99,26.69
2026-08-17,,,,COMBU-EXPRESS S.A. DE C.V.,PL/959/EXP/ES/2015,Carretera Guadalajara - Nogales No. 6755,23.99,29.49,27.00
2026-08-17,,,,,PL/9589/EXP/ES/2015,,23.99,28.80,
2026-08-17,,,,,PL/9588/EXP/ES/2015,,23.99,29.29,27.00
2026-08-17,,,,,PL/9587/EXP/ES/2015,,23.12,27.94,
2026-08-17,,,,,PL/9586/EXP/ES/2015,,23.42,27.94,26.85
2026-08-17,,,,OPERADORA KINZA S.A. DE C.V.,PL/9585/EXP/ES/2015,Avenida Moctezuma Esquina Con Avenida Tepeyac S/N,23.59,28.19,
2026-08-17,,,,,PL/9584/EXP/ES/2015,,23.69,28.39,
2026-08-17,,,,,PL/9583/EXP/ES/2015,,23.99,29.99,
2026-08-17,,,,,PL/9582/EXP/ES/2015,,23.58,28.19,27.00
2026-08-17,,,,,PL/9581/EXP/ES/2015,,23.69,28.19,
2026-08-17,,,,,PL/9580/EXP/ES/2015,,24.00,,27.00
2026-08-17,,,,,PL/958/EXP/ES/2015,,23.99,29.99,27.49
2026-08-17,,,,,PL/9579/EXP/ES/2015,,23.99,29.99,27.00
2026-08-17,,,,,PL/9578/EXP/ES/2015,,23.98,29.14,
2026-08-17,,,,,PL/9577/EXP/ES/2015,,23.99,29.49,
2026-08-17,,,,,PL/9576/EXP/ES/2015,,24.40,,27.49
2026-08-17,,,,,PL/9574/EXP/ES/2015,,23.99,,
2026-08-17,,,,,PL/9573/EXP/ES/2015,,23.98,28.47,
2026-08-17,,,,,PL/9572/EXP/ES/2015,,25.49,30.26,28.87
2026-08-17,,,,,PL/9571/EXP/ES/2015,,19.99,,
2026-08-17,,,,,PL/9570/EXP/ES/2015,,23.99,29.35,27.95
2026-08-17,,,,,PL/957/EXP/ES/2015,,23.99,28.49,27.00
2026-08-17,,,,,PL/9569/EXP/ES/2015,,23.98,29.49,26.98
2026-08-17,,,,,PL/9567/EXP/ES/2015,,23.98,29.09,27.00
2026-08-17,,,,,PL/9566/EXP/ES/2015,,23.98,29.09,27.00
2026-08-17,,,,,PL/9565/EXP/ES/2015,,23.98,29.04,27.00
2026-08-17,,,,,PL/9564/EXP/ES/2015,,23.98,28.84,27.00
2026-08-17,,,,,PL/9563/EXP/ES/2015,,23.99,28.15,27.00
2026-08-17,,,,,PL/9562/EXP/ES/2015,,23.40,26.69,27.00
2026-08-17,,,,,PL/9561/EXP/ES/2015,,23.99,29.99,
2026-08-17,,,,,PL/956/EXP/ES/2015,,23.99,28.99,27.50
2026-08-17,,,,,PL/9559/EXP/ES/2015,,23.99,28.59,27.00
2026-08-17,,,,,PL/9558/EXP/ES/2015,,23.99,29.70,27.00
2026-08-17,,,,,PL/9557/EXP/ES/2015,,23.85,27.79,
2026-08-17,,,,,PL/9556/EXP/ES/2015,,23.85,27.95,
2026-08-17,,,,,PL/9555/EXP/ES/2015,,23.90,27.30,27.00
2026-08-17,,,,,PL/9554/EXP/ES/2015,,23.99,29.99,27.00
2026-08-17,,,,,PL/9553/EXP/ES/2015,,23.99,29.99,
2026-08-17,,,,,PL/9551/EXP/ES/2015,,24.37,27.99,
2026-08-17,,,,,PL/9550/EXP/ES/2015,,23.99,28.49,26.99
2026-08-17,,,,SERVICIO PATRYBACH S.A. DE C.V.,PL/955/EXP/ES/2015,Avenida Patria No. 209,23.99,29.98,
2026-08-17,,,,,PL/9549/EXP/ES/2015,,24.89,28.58,27.70
2026-08-17,,,,,PL/9548/EXP/ES/2015,,23.49,27.19,27.00
2026-08-17,,,,,PL/9546/EXP/ES/2015,,24.00,29.50,
2026-08-17,,,,,PL/9545/EXP/ES/2015,,23.99,28.69,26.99
2026-08-17,,,,,PL/9544/EXP/ES/2015,,23.10,27.39,27.00
2026-08-17,,,,,PL/9543/EXP/ES/2015,,25.49,30.26,28.87
2026-08-17,,,,,PL/9541/EXP/ES/2015,,23.99,28.89,26.49
2026-08-17,,,,,PL/9540/EXP/ES/2015,,23.99,28.99,
