Fecha,Region,Estado,Municipio,Estacion,Permiso CRE,Direccion,Regular,Premium,Diesel,Tipo Diesel
2026-08-18,,,,PETROVAZ S.A. DE C.V.,PL/10129/EXP/ES/2015,Avenida Vallarta S/N Casi Esquina Con Periférico,23.99,29.99,27.00,DUBA
2026-08-18,,,,ENERGÍA FATIMA S.A. DE C.V.,PL/8982/EXP/ES/2015,Avenida Valle de Atemajac No. 2323,23.99,28.99,,
2026-08-18,,,,COMBUSTIBLES AVIACIÓN S.A. DE C.V.,PL/7619/EXP/ES/2015,Aviación No. 5077,23.99,29.99,,
2026-08-18,,,,SERVICIO EXTRARAPIDO S.A. DE C.V.,PL/1865/EXP/ES/2015,Calle Chícharo No. 5454,23.99,28.99,26.99,Diésel
2026-08-18,,,,SERVICIO TESISTAN S.A. DE C.V.,PL/5408/EXP/ES/2015,Calle Juan Manuel Ruvalcaba No. 21,23.99,28.89,26.99,Diésel
2026-08-18,,,,SERVICIOS Y COMBUSTIBLES TEPEYAC S.A. DE C.V.,PL/8397/EXP/ES/2015,Calle Paseo de Los Virreyes No. 4279,23.99,29.99,,
2026-08-18,,,,GASOLINA Y DIESEL DE OCCIDENTE S.A. DE C.V.,PL/10137/EXP/ES/2015,Calle Pino Suarez No. 587,23.99,29.45,,
2026-08-18,,,,COMBUSTIBLES PAVILLON S.A. DE C.V.,PL/1950/EXP/ES/2015,Calle Plata No. 1701,23.99,29.49,,
2026-08-18,,,,GASOLINERA PLAZA DEL SOL S.A. DE C.V.,PL/10725/EXP/ES/2015,Calle Tenochtitlán No. 1,23.99,29.89,,
2026-08-18,,,,GRUPO OCTANO S.A. DE C.V.,PL/618/EXP/ES/2015,Carretera a Ameca No. 186,23.99,29.99,27.00,Diésel
2026-08-18,,,,SERVICIO COLOTLAN EXPRESS S.A. DE C.V.,PL/7790/EXP/ES/2015,Carretera a Colotlán No. 2800,23.99,29.29,26.99,Automotriz
2026-08-18,,,,"GASOLINERA VILLA DE GUADALUPE, S.A. DE C.V.",PL/25112/EXP/ES/2023,Carretera a Saltillo No. 1820,23.99,29.79,27.00,DUBA
2026-08-18,,,,SERVICIOS GASOLINEROS DE MEXICO S.A. DE C.V.,PL/5706/EXP/ES/2015,Carretera a Saltillo No. 2892,23.99,29.99,27.00,Diésel
2026-08-18,,,,SERVICIO TESCOGAS S.A. DE C.V.,PL/5355/EXP/ES/2015,Carretera a Tesistan No. 8920 Km 9,23.99,28.99,26.99,DUBA
2026-08-18,,,,SERVICIO COLOTLAN EXPRESS S.A. DE C.V.,PL/5401/EXP/ES/2015,Carretera Colotlán No. 2845,23.99,28.89,26.99,Automotriz
2026-08-18,,,,DERIVADORA DE COMBUSTIBLES DEL NORTE S.A. DE C.V.,PL/12562/EXP/ES/2015,Carretera Colotlán No. 5500,23.99,28.99,26.99,Diésel
2026-08-18,,,,COMBU-EXPRESS S.A. DE C.V.,PL/959/EXP/ES/2015,Carretera Guadalajara - Nogales No. 6755,23.99,29.49,27.00,Diésel
2026-08-18,,,,SERVICIO SIGLO XXI S.A. DE C.V.,PL/7023/EXP/ES/2015,Carretera Guadalajara- Nogales 3750 Km 22,23.99,29.99,27.00,DUBA
2026-08-18,,,,COMBUSTIBLES TRITON S.A. DE C.V.,PL/1999/EXP/ES/2015,Carretera Guadalajara Tepic No. 9835,23.99,29.49,27.29,Diésel
2026-08-18,,,,GASOLINERA CUDEA S.A. DE C.V.,PL/1646/EXP/ES/2015,Carretera Guadalajara-Tepic No. 4444,23.99,28.99,26.99,Diésel
2026-08-18,,,,GASOLINERA LA MORENA S.A. DE C.V.,PL/1719/EXP/ES/2015,Federalismo Norte No. 688,23.99,29.70,,
2026-08-18,,,,LUIS BAUTISTA ZEPEDA (SU SUCESIÓN),PL/13489/EXP/ES/2016,Carretera Cotija-Tocumbo Km 8,24.25,,17.99,Diésel
