Fecha,Region,Estado,Municipio,Estacion,Permiso CRE,Direccion,Regular,Premium,Diesel,Tipo Diesel
2026-08-18,,,,ENERGÍA SAN PABLO S.A. DE C.V.,PL/6952/EXP/ES/2015,Avenida Cordilleras S/N Esquina Volcan Vesubio,23.69,26.99,,
2026-08-18,,,,GAXCOPETROL DE MÉXICO S.A. DE C.V.,PL/1760/EXP/ES/2015,Avenida Tepeyac No. 5030,23.69,26.99,,
2026-08-18,,,,SERVICIO INDUSTRIAL DE ZAPOPAN S.A. DE C.V.,PL/2832/EXP/ES/2015,Prolongación Laureles No. 601,23.70,28.90,,
2026-08-18,,,,SERVICIO BASE AÉREA S.A. DE C.V.,PL/1756/EXP/ES/2015,Avenida Base Aérea Militar No. 330,23.79,28.79,,
2026-08-18,,,,SOLUGAS SOLUCIONES EN GASOLINERAS S.A. DE C.V.,PL/1311/EXP/ES/2015,La Loma No. 1525,23.79,28.29,27.00,Automotriz
2026-08-18,,,,GASOLINERA CONSTITUCIÓN S.A. DE C.V.,PL/1421/EXP/ES/2015,Paulino Navarro No. 748,23.79,28.89,,
2026-08-18,,,,GAXCO OBELISCO S.A. DE C.V.,PL/1807/EXP/ES/2015,Avenida Ávila Camacho No. 3250,23.89,27.29,,
2026-08-18,,,,"SERVICIOS Y COMBUSTIBLES TCHAIKOVSKY, S.A. DE C.V.",PL/25050/EXP/ES/2023,AVENIDA PIOTR CHAIKOVSKI 594,23.89,28.49,,
2026-08-18,,,,ESTACIÓN DE SERVICIO GALERIAS S.A. DE C.V.,PL/10098/EXP/ES/2015,Ludwin Van Beethoven No. 5503,23.89,28.49,,
2026-08-18,,,,SERVICIO REAL ACUEDUCTO S.A. DE C.V.,PL/19613/EXP/ES/2016,Avenida Real Acueducto 405a,23.95,29.45,,
2026-08-18,,,,ESTACIÓN DE SERVICIO APV S.A. DE C.V.,PL/11006/EXP/ES/2015,Carretera a Nogales No. 4880,23.97,29.47,26.99,Automotriz
2026-08-18,,,,CORPORATIVO VENTA DEL ASTILLERO S.A. DE C.V.,PL/1688/EXP/ES/2015,Carretera México - Nogales Km 696.3,23.97,29.37,26.97,Automotriz
2026-08-18,,,,LAS COMADRES DE NEXTIPAC SA DE CV,PL/22606/EXP/ES/2019,RAMON CORONA 440,23.97,29.47,26.99,Automotriz
2026-08-18,,,,"GRUPO ATHOS DE OCCIDENTE, S.A. DE C.V.",PL/25386/EXP/ES/2023,AV. JUAN PABLO II No. 1075,23.98,29.44,26.98,Automotriz
2026-08-18,,,,OTON ZAZUETA BELTRAN,PL/8342/EXP/ES/2015,Avenida Guadalupe No. 9500,23.98,27.98,,
2026-08-18,,,,MIGUEL ZAZUETA BELTRAN,PL/6905/EXP/ES/2015,Avenida Guadalupe No. 9501,23.98,28.90,,
2026-08-18,,,,SERVICIO NUEVO MÉXICO S.A. DE C.V.,PL/11004/EXP/ES/2015,Cl Juan Gil Preciado No. 1800,23.98,28.50,27.00,Diésel
2026-08-18,,,,SÚPER SERVICIO CIUDAD GRANJA S.A. DE C.V.,PL/1726/EXP/ES/2015,Periférico Poniente Lateral Norte No. 6500,23.98,29.99,26.99,Automotriz
2026-08-18,,,,"PETRO HUNTER, S.A. DE C.V.",PL/25482/EXP/ES/2024,ANILLO PERIFÉRICO MANUEL GÓMEZ MORÍN No. 20,23.99,29.79,,
2026-08-18,,,,GRUPO OCTANO S.A. DE C.V.,PL/418/EXP/ES/2015,Anillo Periférico No. 4230,23.99,29.99,27.00,Diésel
2026-08-18,,,,ESTACIÓN DE SERVICIO NACIONES UNIDAS S.A. DE C.V.,PL/1574/EXP/ES/2015,Anillo Periférico No. 4435,23.99,29.99,27.00,Automotriz
2026-08-18,,,,LOSA GAS S.A. DE C.V.,PL/21122/EXP/ES/2018,AV PROLONGACIÓN MARIANO OTERO 1270,23.99,29.10,,
2026-08-18,,,,GRUPO JGJ-LUAN SA DE CV,PL/20959/EXP/ES/2018,AV. JUAN GIL PRECIADO 1094,23.99,29.49,28.28,Automotriz
2026-08-18,,,,"ALPEZ, S.A. DE C.V.",CNE/PL/184/EXP/ES/2025,AV. VALLE DE LOS MOLINOS NUM. 151,23.99,28.89,26.99,DUBA
2026-08-18,,,,DAVID DE ANDA CHÁVEZ,PL/7721/EXP/ES/2015,Avenida 18 de Marzo No. 1545,23.99,29.99,,
2026-08-18,,,,SERVICIO LOS DELFINES S.A. DE C.V.,PL/8978/EXP/ES/2015,Avenida Acueducto 1555,23.99,28.99,26.99,Automotriz
